Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
ece,CLMBR_DAPT,GBM,"0.01 [0.005, 0.019]","0.015 [0.007, 0.028]","-0.005 [-0.009, -0.002]",0.0,128
auprc,CLMBR_DAPT,GBM,"0.145 [0.065, 0.253]","0.067 [0.02, 0.149]","0.077 [0.036, 0.127]",0.0,16
auprc_c,CLMBR_DAPT,GBM,"0.715 [0.658, 0.774]","0.546 [0.537, 0.558]","0.169 [0.118, 0.218]",0.0,16
auroc,CLMBR_DAPT,GBM,"0.739 [0.678, 0.798]","0.559 [0.541, 0.575]","0.18 [0.128, 0.228]",0.0,16
ece,CLMBR_DAPT,GBM,"0.015 [0.006, 0.03]","0.017 [0.008, 0.032]","-0.001 [-0.004, 0.001]",0.2138,16
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.102 [0.036, 0.195]","0.091 [0.034, 0.184]","0.01 [0.001, 0.026]",0.024,2
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.615 [0.589, 0.651]","0.608 [0.579, 0.633]","0.009 [-0.009, 0.027]",0.346,2
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.612 [0.579, 0.65]","0.608 [0.571, 0.637]","0.005 [-0.019, 0.026]",0.616,2
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.02 [0.009, 0.038]","0.018 [0.008, 0.034]","0.003 [0.001, 0.005]",0.0,2
auprc,CLMBR,CLMBR_MIMIC,"0.18 [0.07, 0.294]","0.225 [0.094, 0.36]","-0.043 [-0.071, -0.019]",0.0,512
auprc_c,CLMBR,CLMBR_MIMIC,"0.75 [0.701, 0.815]","0.788 [0.735, 0.85]","-0.037 [-0.049, -0.027]",0.0,512
auroc,CLMBR,CLMBR_MIMIC,"0.768 [0.71, 0.833]","0.802 [0.731, 0.867]","-0.033 [-0.053, -0.014]",0.0,512
ece,CLMBR,CLMBR_MIMIC,"0.011 [0.007, 0.019]","0.01 [0.007, 0.016]","0.001 [-0.0, 0.003]",0.118,512
auprc,CLMBR,GBM,"0.18 [0.07, 0.294]","0.217 [0.09, 0.364]","-0.033 [-0.104, 0.004]",0.1514,512
auprc_c,CLMBR,GBM,"0.75 [0.701, 0.815]","0.75 [0.69, 0.828]","0.0 [-0.016, 0.014]",0.9496,512
auroc,CLMBR,GBM,"0.768 [0.71, 0.833]","0.766 [0.698, 0.835]","0.003 [-0.007, 0.015]",0.5822,512
ece,CLMBR,GBM,"0.011 [0.007, 0.019]","0.015 [0.008, 0.028]","-0.004 [-0.01, -0.001]",0.0,512
auprc,CLMBR,GBM,"0.146 [0.057, 0.248]","0.088 [0.029, 0.186]","0.054 [0.024, 0.095]",0.0,64
auprc_c,CLMBR,GBM,"0.723 [0.681, 0.781]","0.621 [0.597, 0.652]","0.103 [0.075, 0.132]",0.0,64
auroc,CLMBR,GBM,"0.745 [0.703, 0.798]","0.648 [0.617, 0.683]","0.098 [0.072, 0.122]",0.0,64
ece,CLMBR,GBM,"0.012 [0.006, 0.023]","0.014 [0.007, 0.026]","-0.002 [-0.004, -0.001]",0.0,64
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.164 [0.068, 0.27]","0.15 [0.058, 0.257]","0.012 [-0.001, 0.031]",0.08,32
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.74 [0.683, 0.802]","0.727 [0.683, 0.784]","0.012 [-0.006, 0.028]",0.202,32
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.764 [0.703, 0.825]","0.752 [0.7, 0.81]","0.012 [-0.003, 0.026]",0.132,32
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.013 [0.006, 0.026]","0.013 [0.006, 0.026]","-0.0 [-0.001, 0.001]",0.428,32
auprc,CLMBR,CLMBR_MIMIC,"0.174 [0.07, 0.284]","0.211 [0.088, 0.339]","-0.036 [-0.059, -0.016]",0.0,256
auprc_c,CLMBR,CLMBR_MIMIC,"0.747 [0.7, 0.809]","0.785 [0.738, 0.844]","-0.038 [-0.048, -0.028]",0.0,256
auroc,CLMBR,CLMBR_MIMIC,"0.766 [0.712, 0.828]","0.801 [0.739, 0.862]","-0.035 [-0.051, -0.02]",0.0,256
ece,CLMBR,CLMBR_MIMIC,"0.01 [0.006, 0.019]","0.01 [0.005, 0.017]","0.001 [-0.0, 0.002]",0.1332,256
auprc,CLMBR_DAPT,GBM,"0.159 [0.064, 0.262]","0.066 [0.018, 0.143]","0.089 [0.037, 0.147]",0.0,32
auprc_c,CLMBR_DAPT,GBM,"0.738 [0.68, 0.795]","0.547 [0.538, 0.554]","0.191 [0.13, 0.252]",0.0,32
auroc,CLMBR_DAPT,GBM,"0.765 [0.702, 0.82]","0.567 [0.553, 0.579]","0.198 [0.133, 0.258]",0.0,32
ece,CLMBR_DAPT,GBM,"0.014 [0.006, 0.025]","0.004 [0.003, 0.007]","0.009 [0.003, 0.018]",0.0,32
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.127 [0.048, 0.224]","0.121 [0.045, 0.221]","0.005 [-0.005, 0.02]",0.3758,8
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.684 [0.634, 0.744]","0.678 [0.637, 0.726]","0.006 [-0.01, 0.025]",0.4812,8
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.705 [0.644, 0.767]","0.698 [0.647, 0.747]","0.007 [-0.017, 0.032]",0.5976,8
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.017 [0.008, 0.03]","0.015 [0.007, 0.029]","0.001 [-0.0, 0.002]",0.1826,8
